,title,view_count,likes,dislikes,comment_count,trending_days,category,video_id,channelTitle,tags,response_rate
10,She is foxy but not enough #Shorts,745646332,25736623,747013,15113,8,Entertainment,PRz64kSEJqs,Fortnite Fun TV,[None],3.55%
11,SPIDER-MAN: NO WAY HOME - Official Trailer (HD),680265124,36807548,285868,2481655,15,Entertainment,JfVOs4VSpmA,Sony Pictures Entertainment,[None],5.82%
12,"$456,000 Squid Game In Real Life!",659222281,59504206,287767,3070559,7,Entertainment,0e3GPea1Tyg,MrBeast,[None],9.54%
13,MvRyhan Funny videos #tiktok #Shorts,646085488,11757028,532965,46287,7,Entertainment,Fw7fbKoK3e8,Mv Ryhan,[None],1.91%
14,BTS (방탄소년단) 'Butter' Official MV,631898950,50695321,240178,21720884,4,Music,WMweEpGlu_U,HYBE LABELS,BIGHIT|빅히트|방탄소년단|BTS|BANGTAN|방탄,11.50%
15,Bad Bunny - Yonaguni (Video Oficial),627031303,36000610,770899,1802284,15,Music,doLMt10ytHY,Bad Bunny,Bad|Bunny|Bad Bunny|YHLQMDLG|Yonaguni|yonaguni bad bunny|bad bunny yonaguni|yonaguny bad bunny|yonaguny|yonaguni bad|bad bunny yonaguni video|yonagu bad bunny|bad bunny video yonaguni|japan bad bunny video|video bad bunny yonaguni,6.15%
16,ROSÉ - 'On The Ground' M/V,610736926,49946089,530293,10833278,8,Music,CKZvWhCqx1s,BLACKPINK,YG Entertainment|YG|와이지|K-pop|BLACKPINK|블랙핑크|블핑|제니|로제|리사|지수|Lisa|Jisoo|Jennie|Rosé|BLINK|블링크|ROSÉ On The Ground|로제 On The Ground|On The Ground|로제 R|ROSÉ R|ROSE R|ROSE On The Ground,10.04%
17,TWICE Alcohol-Free M/V,609619772,25850009,505161,8612548,11,Music,XA2YEHn-A8Q,JYP Entertainment,TWICE|트와이스|taste of love|alcoholfree|alcoholfree mv|taste of love mv teaser|트와이스 알콜프리|알콜프리|알콜프리 뮤비|알콜프리뮤비|twice alcoholfree mv|twice alcohol free mv|twice alcohol free m/v|nayeon|jeongyeon|momo|sana|jihyo|mina|dahyun|chaeyoung|tzuyu|나연|정연|모모|사나|지효|미나|다현|채영|쯔위|테이스트오브러브|테오럽|테오럽뮤비|테오럽 트와이스 뮤비|트와이스 테오럽|알코올프리|알콜프리뮤비트와이스|jyp entertainment|jyp,5.74%
18,"Floyd Mayweather vs Logan Paul: Fight goes the distance [Highlights, recap] | CBS Sports HQ",554989292,4911012,763923,919911,35,Sports,aONT7atzqfw,CBS Sports HQ,CBS|CBS Sports|sports|cbs sports hq|sports hq|hq|logan paul|floyd mayweather|jake paul|floyd mayweather vs logan paul|mayweather vs paul|logan paul vs floyd mayweather|mayweather paul|showtime boxing|floyd mayweather jake paul|jake paul and floyd mayweather|logan paul floyd mayweather|paul brothers|logan paul boxing|jake paul takes floyds hat|jake paul boxing|conor mcgregor|logan paul youtube|jake paul vs floyd mayweather,1.19%
19,EXO 엑소 'Don't fight the feeling' MV,531071792,46477795,371135,31352122,13,Music,2IkoKhr6Tss,SMTOWN,[None],14.73%
20,Crazy STATIC TRICK! 😨 #shorts,486387218,16513069,569194,132798,7,Entertainment,i0Ye1lBEgnM,Dan Rhodes,[None],3.54%
21,JELLY FRUIT 🍎 CHALLENGE @BrianaSprinz #Shorts,485870212,11226378,562354,28904,10,Entertainment,4-r1bM5YTQI,Austin Sprinz,[None],2.43%
22,🥭Fresh Farm Fruit Eating | Tiktok China | Oddly Satisfying Ninja Fruit Cutting #shorts | Part 461,481944513,5904260,415649,18532,10,People & Blogs,BNqg-1GBpLw,Fruit Satisfying,Tik Tok China|farm fresh ninja fruit|Fresh fruits|Farm fresh fruit cutting|Fruits|Tiktok China|Farm fresh fruit ninja cutting|Fruit cutting|Fresh farm fruit|Fresh from farm|Farm fresh fruit ninja|Fruit ninja|Fresh farm fruit eating,1.32%
23,Billie Eilish - Lost Cause (Official Music Video),466451877,36194672,1000837,2303651,17,Music,S2dRcipMCpw,BillieEilishVEVO,Billie|Eilish|Lost|Cause|Darkroom/Interscope|Records|Alternative,8.47%
24,Golden Buzzer: Nightbirde's Original Song Makes Simon Cowell Emotional - America's Got Talent 2021,461989465,14865390,138781,979677,24,Entertainment,CZJvBfoHDk0,America's Got Talent,Simon Cowell|Howie Mandel|Terry Crews|America's Got Talent|America's Got Talent Best|AGT|AGT Best Auditions|Heidi Klum|Sofia Vergara|New AGT|Full Performance|AGT Full Performances|Season 16|America's Got Talent Season 16|AGT 16|AGT Auditions|Got Talent Auditions|America's Got Talent 2021|AGT 2021|america's got talent auditions|golden buzzer|nightbirde|it's okay|Golden Buzzer|Golden Buzzer AGT|Golden Buzzer Cancer|Simon Cowell Golden Buzzer,3.46%
